texto,etiqueta
"""La cerámica hallada en el sitio arqueológico tiene características del período preclásico.""",científico
"""Los atlantes construyeron templos en América antes de desaparecer en el océano.""",pseudoarqueología
"""La cerámica hallada en el sitio corresponde al siglo VII.""",científico
"""Los antiguos aliens construyeron las pirámides""",pseudoarqueología
"""La cerámica hallada en el sitio presenta motivos geométricos típicos del periodo clásico mesoamericano.""",científico
"""Las pirámides de Egipto fueron construidas por seres extraterrestres con tecnología avanzada.""",pseudoarqueología
"""El análisis de ADN mitocondrial reveló relaciones genéticas entre individuos enterrados juntos.""",científico
"""Las civilizaciones antiguas tenían acceso a energía libre proporcionada por los dioses.""",pseudoarqueología
"""Los restos encontrados muestran una secuencia de ocupación continua de al menos 700 años.""",científico
"""Las piedras de Ica prueban que los humanos coexistieron con dinosaurios.""",pseudoarqueología
"El sitio fue fechado utilizando datación por carbono 14, revelando una antigüedad de 3.200 años.",centífico
Las herramientas líticas muestran patrones de desgaste consistentes con el procesamiento de alimentos vegetales.,científico
El patrón de asentamiento sugiere una organización jerárquica de tipo cacical.,científico
La distribución de fragmentos cerámicos sugiere un uso ritual del espacio.,científico
Las estructuras circulares de piedra se interpretan como viviendas domésticas del periodo Formativo.,científico
El hallazgo de obsidiana indica redes de intercambio interregionales.,científico
Se realizaron análisis isotópicos para determinar la dieta de la población prehispánica.,científico
Los petroglifos fueron documentados y geo-referenciados mediante tecnología GPS.,científico
"El enterramiento múltiple incluye individuos de diferentes edades, lo que indica un posible linaje familiar.",científico
Se identificaron restos de maíz carbonizado en contextos asociados a áreas de cocina.,científico
Las ruinas muestran alineaciones con las constelaciones que solo podrían ser obra de civilizaciones extraterrestres.,pseudoarqueología
"Según antiguos textos ocultos, los mayas recibieron su conocimiento de seres de las estrellas.",pseudoarqueología
La Atlántida fue el origen de todas las culturas antiguas y fue destruida por una guerra nuclear prehistórica.,pseudoarqueología
Las pirámides generan energía cósmica que las civilizaciones modernas aún no comprenden.,pseudoarqueología
El gobierno oculta pruebas de gigantes que vivieron entre los humanos hace miles de años.,pseudoarqueología
